pk_blobs_00.pdf_id,sentiment01.score,sentiment01.label
0,0.13,POSITIVE
1,0.155625,POSITIVE
2,0.122222222,POSITIVE
3,-0.0625,NEGATIVE
4,0.065555556,POSITIVE
5,0.096212121,POSITIVE
6,0.125757576,POSITIVE
7,-0.028571429,NEGATIVE
8,-0.005539773,NEGATIVE
9,0.027777778,POSITIVE
10,0.029662698,POSITIVE
11,0.108928571,POSITIVE
12,0.111833333,POSITIVE
13,0.050507937,POSITIVE
14,0.025,POSITIVE
15,0.15,POSITIVE
16,0.084517906,POSITIVE
17,0.153000541,POSITIVE
18,0,NEUTRAL
19,-0.02,NEGATIVE
20,0.104761905,POSITIVE
21,0.051623377,POSITIVE
22,0.143813131,POSITIVE
23,-0.00952381,NEGATIVE
24,0.156190476,POSITIVE
25,0.046153846,POSITIVE
26,0,NEUTRAL
27,0.089814815,POSITIVE
28,0.266666667,POSITIVE
29,0.238099401,POSITIVE
30,-0.0965,NEGATIVE
31,0.125,POSITIVE
32,0.202777778,POSITIVE
33,0.128571429,POSITIVE
34,0.012637363,POSITIVE
35,0,NEUTRAL
36,-0.016666667,NEGATIVE
37,0.125,POSITIVE
38,0.195,POSITIVE
39,0.078928571,POSITIVE
40,0.097619048,POSITIVE
41,0.083657143,POSITIVE
42,0.075,POSITIVE
43,0.011870942,POSITIVE
44,0.185576923,POSITIVE
45,0.097727273,POSITIVE
46,-0.04047619,NEGATIVE
47,0.11875,POSITIVE
48,0.1,POSITIVE
49,0.18,POSITIVE
50,-0.025,NEGATIVE
51,0,NEUTRAL
52,0.131060606,POSITIVE
53,-0.032936508,NEGATIVE
54,0.11530112,POSITIVE
55,0.486363636,POSITIVE
56,0.109857955,POSITIVE
57,0.057312925,POSITIVE
58,0.159019608,POSITIVE
59,0.05,POSITIVE
60,0.058924964,POSITIVE
61,0.202651515,POSITIVE
62,-0.025,NEGATIVE
63,-0.02375,NEGATIVE
64,-0.011111111,NEGATIVE
65,0,NEUTRAL
66,0.048734336,POSITIVE
67,0.05,POSITIVE
68,0.114350649,POSITIVE
69,-0.055555556,NEGATIVE
70,0.083333333,POSITIVE
71,-0.010193452,NEGATIVE
72,-0.070289855,NEGATIVE
73,-0.025,NEGATIVE
74,0.233333333,POSITIVE
75,0.086452763,POSITIVE
76,0.120833333,POSITIVE
77,-0.014285714,NEGATIVE
78,0.1015625,POSITIVE
79,0.105714286,POSITIVE
80,0.033333333,POSITIVE
81,0.090909091,POSITIVE
82,0.078857624,POSITIVE
83,-0.10625,NEGATIVE
84,0.063492063,POSITIVE
85,0.084416001,POSITIVE
86,0.096969697,POSITIVE
87,0.083333333,POSITIVE
88,0.208333333,POSITIVE
89,-0.053796204,NEGATIVE
90,0,NEUTRAL
91,-0.029145455,NEGATIVE
92,-0.064197531,NEGATIVE
93,0.082738095,POSITIVE
94,0.04375,POSITIVE
95,0.113528139,POSITIVE
96,-0.110858586,NEGATIVE
97,0.091428571,POSITIVE
98,-0.029811098,NEGATIVE
99,0.044689239,POSITIVE
100,0.016666667,POSITIVE
101,0.121875,POSITIVE
102,0.1,POSITIVE
103,0.0875,POSITIVE
104,0.045,POSITIVE
105,0,NEUTRAL
106,-0.19375,NEGATIVE
107,0.175,POSITIVE
108,0.080416667,POSITIVE
109,0.283333333,POSITIVE
110,0.167857143,POSITIVE
111,0.044616977,POSITIVE
112,0.044196429,POSITIVE
113,0.107359307,POSITIVE
114,-0.109722222,NEGATIVE
115,0,NEUTRAL
116,0.092559524,POSITIVE
117,0.1,POSITIVE
118,0.2875,POSITIVE
119,-0.009722222,NEGATIVE
120,-0.075,NEGATIVE
121,0.3275,POSITIVE
122,0.0875,POSITIVE
123,0.094130435,POSITIVE
124,0.030694444,POSITIVE
125,0.154761905,POSITIVE
126,-0.025595238,NEGATIVE
127,-0.116666667,NEGATIVE
128,0.125,POSITIVE
129,0.013736264,POSITIVE
130,0.05,POSITIVE
131,0.10515873,POSITIVE
132,-0.017179487,NEGATIVE
133,0,NEUTRAL
134,0.115651515,POSITIVE
135,-0.04,NEGATIVE
136,0,NEUTRAL
137,-0.001785714,NEGATIVE
138,-0.09,NEGATIVE
139,0.2,POSITIVE
140,0.092857143,POSITIVE
141,0.012,POSITIVE
142,0.175,POSITIVE
143,-0.025,NEGATIVE
144,-0.04425641,NEGATIVE
145,0.113636364,POSITIVE
146,0.214285714,POSITIVE
147,0.004545455,POSITIVE
148,0.166666667,POSITIVE
149,0.1115625,POSITIVE
150,0.018571429,POSITIVE
151,0.110218254,POSITIVE
152,0.031746032,POSITIVE
153,0.21875,POSITIVE
154,0.100297619,POSITIVE
155,-0.009090909,NEGATIVE
156,0.004648526,POSITIVE
157,0,NEUTRAL
158,0.116666667,POSITIVE
159,0.153571429,POSITIVE
160,-0.004545455,NEGATIVE
161,-0.041666667,NEGATIVE
162,0.048224242,POSITIVE
163,0.2375,POSITIVE
164,0.226623377,POSITIVE
165,0.135384615,POSITIVE
166,0.097222222,POSITIVE
167,0.188235294,POSITIVE
168,0.179166667,POSITIVE
169,-0.027380952,NEGATIVE
170,0.168636364,POSITIVE
171,0.07617619,POSITIVE
172,0.00952381,POSITIVE
173,0.065,POSITIVE
174,0.15,POSITIVE
175,0.087857143,POSITIVE
176,0.120681818,POSITIVE
177,0.191071429,POSITIVE
178,0,NEUTRAL
179,0.104166667,POSITIVE
180,0.230952381,POSITIVE
181,0.041798942,POSITIVE
182,0.041666667,POSITIVE
183,0.0875,POSITIVE
184,0.04,POSITIVE
185,-0.0765625,NEGATIVE
186,0.014224599,POSITIVE
187,0.255555556,POSITIVE
188,-0.039385965,NEGATIVE
189,0.091136364,POSITIVE
190,0.091666667,POSITIVE
191,0.017424242,POSITIVE
192,0.1,POSITIVE
193,-0.018181818,NEGATIVE
194,0.066666667,POSITIVE
195,-0.0375,NEGATIVE
196,0.310714286,POSITIVE
197,-0.119444444,NEGATIVE
198,0.076190476,POSITIVE
199,0.092098765,POSITIVE
200,0.254854669,POSITIVE
201,0.006944444,POSITIVE
202,-0.303333333,NEGATIVE
203,0.146857143,POSITIVE
204,0.17,POSITIVE
205,0.022916667,POSITIVE
206,0.078571429,POSITIVE
207,0.05,POSITIVE
208,0.076190476,POSITIVE
209,-0.055555556,NEGATIVE
210,0.017083333,POSITIVE
211,-0.183333333,NEGATIVE
212,-0.059210526,NEGATIVE
213,0.020222635,POSITIVE
