in__blobs_00.pdf_id,out__sentiment01.score,out__sentiment01.label,out__sentiment01.pdf_id
0,0.13,POSITIVE,0
1,0.155625,POSITIVE,1
2,0.122222222,POSITIVE,2
3,-0.0625,NEGATIVE,3
4,0.065555556,POSITIVE,4
5,0.096212121,POSITIVE,5
6,0.125757576,POSITIVE,6
7,-0.028571429,NEGATIVE,7
8,-0.005539773,NEGATIVE,8
9,0.027777778,POSITIVE,9
10,0.029662698,POSITIVE,10
11,0.108928571,POSITIVE,11
12,0.111833333,POSITIVE,12
13,0.050507937,POSITIVE,13
14,0.025,POSITIVE,14
15,0.15,POSITIVE,15
16,0.084517906,POSITIVE,16
17,0.153000541,POSITIVE,17
18,0,NEUTRAL,18
19,-0.02,NEGATIVE,19
20,0.104761905,POSITIVE,20
21,0.051623377,POSITIVE,21
22,0.143813131,POSITIVE,22
23,-0.00952381,NEGATIVE,23
24,0.156190476,POSITIVE,24
25,0.046153846,POSITIVE,25
26,0,NEUTRAL,26
27,0.089814815,POSITIVE,27
28,0.266666667,POSITIVE,28
29,0.238099401,POSITIVE,29
30,-0.0965,NEGATIVE,30
31,0.125,POSITIVE,31
32,0.202777778,POSITIVE,32
33,0.128571429,POSITIVE,33
34,0.012637363,POSITIVE,34
35,0,NEUTRAL,35
36,-0.016666667,NEGATIVE,36
37,0.125,POSITIVE,37
38,0.195,POSITIVE,38
39,0.078928571,POSITIVE,39
40,0.097619048,POSITIVE,40
41,0.083657143,POSITIVE,41
42,0.075,POSITIVE,42
43,0.011870942,POSITIVE,43
44,0.185576923,POSITIVE,44
45,0.097727273,POSITIVE,45
46,-0.04047619,NEGATIVE,46
47,0.11875,POSITIVE,47
48,0.1,POSITIVE,48
49,0.18,POSITIVE,49
50,-0.025,NEGATIVE,50
51,0,NEUTRAL,51
52,0.131060606,POSITIVE,52
53,-0.032936508,NEGATIVE,53
54,0.11530112,POSITIVE,54
55,0.486363636,POSITIVE,55
56,0.109857955,POSITIVE,56
57,0.057312925,POSITIVE,57
58,0.159019608,POSITIVE,58
59,0.05,POSITIVE,59
60,0.058924964,POSITIVE,60
61,0.202651515,POSITIVE,61
62,-0.025,NEGATIVE,62
63,-0.02375,NEGATIVE,63
64,-0.011111111,NEGATIVE,64
65,0,NEUTRAL,65
66,0.048734336,POSITIVE,66
67,0.05,POSITIVE,67
68,0.114350649,POSITIVE,68
69,-0.055555556,NEGATIVE,69
70,0.083333333,POSITIVE,70
71,-0.010193452,NEGATIVE,71
