pk_blobs_01.id1,blobs_01.frame_id1,blobs_01.x1,blobs_01.y1,blobs_01.w1,blobs_01.h1,blobs_01.u1
0,8,12,1138,472,56,187
1,9,12,1137,471,56,191
2,10,12,1137,473,58,192
3,11,12,1137,473,60,193
4,12,12,1137,474,64,196
5,13,12,1138,473,66,201
6,14,12,1137,474,69,202
7,15,12,1137,475,73,202
8,16,12,1137,475,73,204
9,17,12,1139,475,74,203
10,17,16,1419,670,84,309
11,18,12,1139,475,75,204
12,18,16,1413,674,87,300
13,19,12,1142,479,90,212
14,19,16,1401,678,97,286
15,20,12,1143,477,89,216
16,20,16,1392,680,98,279
17,21,12,1145,479,90,213
18,21,16,1388,679,96,276
19,22,12,1146,479,93,216
20,22,16,1381,675,98,282
21,23,12,1145,480,95,219
22,23,16,1370,674,106,284
23,24,12,1149,484,92,215
24,24,16,1364,677,103,258
25,25,12,1151,485,91,215
26,26,12,1155,486,90,224
27,27,12,1157,486,89,227
28,28,12,1157,489,90,224
29,29,12,1158,491,91,221
30,30,12,1160,493,86,226
31,31,12,1161,495,83,228
32,32,12,1162,498,81,226
33,32,16,1307,664,134,226
34,33,12,1163,499,84,223
35,33,16,1305,663,126,228
36,34,12,1165,503,82,213
37,34,16,1299,662,121,228
38,35,12,1165,503,82,215
39,35,16,1301,663,112,227
40,36,12,1166,502,81,222
41,37,12,1168,504,78,222
42,38,12,1174,504,78,223
43,39,12,1179,504,78,227
44,40,12,1182,511,79,232
45,41,12,1185,515,78,226
46,42,12,1188,515,75,226
47,43,12,1188,515,80,228
48,43,15,1766,662,117,273
49,44,12,1188,518,86,226
50,44,16,1269,632,74,246
51,44,15,1766,665,110,268
52,45,12,1189,519,87,225
53,45,16,1258,621,80,265
54,45,15,1757,666,115,271
55,46,12,1190,523,82,224
56,46,16,1256,617,81,270
57,46,15,1755,658,110,279
58,47,12,1192,524,79,222
59,47,16,1245,620,89,266
60,47,15,1743,662,114,279
61,48,12,1196,527,76,219
62,48,16,1244,619,88,268
63,48,15,1728,654,120,302
64,49,12,1197,526,75,221
65,49,16,1240,618,92,266
66,49,15,1714,655,130,297
67,50,12,1198,528,78,221
68,50,16,1236,622,91,259
69,50,15,1698,656,126,289
70,50,11,1210,359,61,163
71,51,12,1201,524,78,238
72,51,15,1687,658,135,288
73,51,11,1204,361,63,158
74,52,12,1202,520,85,251
75,52,15,1680,661,136,283
76,52,11,1200,366,63,147
77,53,12,1200,519,92,262
78,53,15,1671,667,138,276
79,53,11,1197,363,65,156
80,54,12,1203,516,92,321
81,54,15,1672,669,124,280
82,54,11,1197,361,62,163
83,55,12,1204,514,90,327
84,55,15,1669,670,122,286
85,55,11,1197,362,59,159
86,56,12,1204,513,89,338
87,56,15,1667,672,115,290
88,56,11,1197,365,58,155
89,57,12,1205,513,90,339
90,57,15,1663,667,103,305
91,57,11,1194,369,60,145
92,58,12,1202,518,92,326
93,58,15,1662,669,91,306
94,58,11,1182,365,63,157
95,59,12,1201,519,93,325
96,59,15,1660,665,90,307
97,59,11,1179,361,64,167
98,60,12,1203,522,86,319
99,60,15,1632,665,117,310
100,60,11,1178,361,62,161
101,61,12,1201,527,88,312
102,61,15,1623,670,130,303
103,61,11,1177,355,59,171
104,62,12,1199,540,87,291
105,62,15,1613,675,130,297
106,62,11,1176,358,59,166
107,63,12,1202,539,82,290
108,63,11,1175,353,60,174
109,64,12,1198,540,85,291
110,64,15,1561,682,169,284
111,64,11,1175,351,58,178
112,65,12,1195,545,94,290
113,65,15,1549,682,181,281
114,65,11,1173,359,58,164
115,66,12,1194,550,95,283
116,66,11,1173,356,58,167
117,67,12,1191,559,94,266
118,67,11,1172,359,56,166
119,68,16,1181,571,86,249
120,68,15,1528,655,169,324
121,68,11,1171,370,56,144
122,69,16,1167,577,82,242
123,69,12,1220,559,92,258
124,69,15,1549,674,130,290
125,69,11,1167,369,58,145
126,70,16,1162,576,86,242
127,70,12,1217,564,98,253
128,70,15,1557,673,114,295
129,70,11,1165,372,59,141
130,71,16,1157,577,79,239
131,71,12,1218,565,101,255
132,71,15,1554,678,107,289
133,71,11,1166,372,58,141
134,72,16,1157,577,85,241
135,72,12,1213,568,108,258
136,72,15,1553,670,97,308
137,72,11,1164,371,57,146
138,73,16,1157,577,78,245
139,73,12,1211,567,109,263
140,73,15,1545,661,95,317
