pk_blobs00.tweet_id,topic03.topic
0,arts_&_culture
1,sports_&_gaming
2,sports_&_gaming
3,sports_&_gaming
4,sports_&_gaming
5,business_&_entrepreneurs
6,pop_culture
7,sports_&_gaming
8,sports_&_gaming
9,sports_&_gaming
10,sports_&_gaming
11,daily_life
12,daily_life
13,daily_life
14,pop_culture
15,sports_&_gaming
16,sports_&_gaming
17,pop_culture
18,pop_culture
19,pop_culture
20,daily_life
21,science_&_technology
22,pop_culture
23,pop_culture
24,sports_&_gaming
25,pop_culture
26,daily_life
27,daily_life
28,pop_culture
29,sports_&_gaming
30,sports_&_gaming
31,sports_&_gaming
32,sports_&_gaming
33,pop_culture
34,pop_culture
35,pop_culture
36,business_&_entrepreneurs
37,arts_&_culture
38,pop_culture
39,pop_culture
40,pop_culture
41,pop_culture
42,daily_life
43,pop_culture
44,pop_culture
45,pop_culture
46,pop_culture
47,pop_culture
48,pop_culture
49,sports_&_gaming
50,daily_life
51,pop_culture
52,sports_&_gaming
53,pop_culture
54,pop_culture
55,sports_&_gaming
56,pop_culture
57,daily_life
58,pop_culture
59,pop_culture
60,daily_life
61,sports_&_gaming
62,daily_life
63,pop_culture
64,sports_&_gaming
65,sports_&_gaming
66,sports_&_gaming
67,sports_&_gaming
68,pop_culture
69,sports_&_gaming
70,pop_culture
71,daily_life
72,sports_&_gaming
73,daily_life
74,pop_culture
75,pop_culture
76,pop_culture
77,daily_life
78,pop_culture
79,sports_&_gaming
80,pop_culture
81,daily_life
82,daily_life
83,daily_life
84,pop_culture
85,daily_life
86,pop_culture
87,pop_culture
88,pop_culture
89,pop_culture
90,sports_&_gaming
91,sports_&_gaming
92,pop_culture
93,pop_culture
94,sports_&_gaming
95,daily_life
96,pop_culture
97,daily_life
98,daily_life
99,sports_&_gaming
100,pop_culture
101,arts_&_culture
102,sports_&_gaming
103,daily_life
104,pop_culture
105,business_&_entrepreneurs
106,daily_life
107,pop_culture
108,daily_life
109,pop_culture
110,sports_&_gaming
111,sports_&_gaming
112,pop_culture
113,pop_culture
