out__sentiment02.tweet_id,out__sentiment02.sentiment,in__blobs00.tweet_id
0,1,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,-1,7
8,1,8
9,0,9
10,0,10
11,1,11
12,1,12
13,-1,13
14,-1,14
15,0,15
16,0,16
17,0,17
18,-1,18
19,-1,19
20,-1,20
21,1,21
22,1,22
23,1,23
24,0,24
25,0,25
26,0,26
27,1,27
28,0,28
29,0,29
30,0,30
31,1,31
32,1,32
33,0,33
34,1,34
35,0,35
36,0,36
37,1,37
38,0,38
39,0,39
40,0,40
41,1,41
42,-1,42
43,0,43
44,0,44
45,0,45
46,0,46
47,1,47
48,0,48
49,0,49
50,1,50
51,1,51
52,0,52
53,1,53
54,0,54
55,0,55
56,1,56
57,0,57
58,0,58
59,-1,59
60,-1,60
61,0,61
62,1,62
63,0,63
64,0,64
65,0,65
66,-1,66
67,-1,67
68,0,68
69,0,69
70,0,70
71,0,71
72,0,72
73,-1,73
74,0,74
75,0,75
76,1,76
77,-1,77
78,0,78
79,0,79
80,0,80
81,1,81
82,1,82
83,1,83
84,1,84
85,0,85
86,-1,86
87,0,87
88,1,88
89,1,89
90,1,90
91,0,91
92,1,92
93,0,93
94,1,94
95,-1,95
96,1,96
97,0,97
98,-1,98
99,0,99
100,0,100
101,1,101
102,-1,102
103,0,103
104,0,104
105,-1,105
106,0,106
107,1,107
108,1,108
109,1,109
110,-1,110
111,1,111
112,-1,112
113,1,113
114,0,114
115,1,115
116,1,116
117,0,117
118,0,118
119,1,119
120,0,120
121,1,121
122,-1,122
123,1,123
124,1,124
125,1,125
126,1,126
127,0,127
128,0,128
129,-1,129
130,1,130
131,0,131
132,-1,132
133,-1,133
134,0,134
135,-1,135
136,0,136
137,0,137
138,0,138
139,0,139
140,0,140
141,0,141
142,1,142
143,1,143
144,1,144
145,1,145
146,0,146
147,0,147
148,1,148
149,1,149
150,1,150
151,0,151
152,0,152
153,1,153
154,-1,154
155,0,155
156,0,156
157,0,157
158,0,158
159,0,159
160,1,160
161,1,161
162,0,162
163,1,163
164,0,164
165,0,165
166,1,166
167,0,167
168,0,168
169,0,169
170,0,170
171,0,171
172,1,172
173,1,173
174,1,174
175,0,175
176,0,176
177,-1,177
178,0,178
179,0,179
180,-1,180
181,0,181
182,0,182
183,0,183
184,0,184
185,0,185
186,0,186
187,0,187
188,0,188
189,1,189
190,1,190
191,-1,191
192,0,192
193,1,193
194,1,194
195,0,195
196,1,196
197,1,197
198,1,198
199,-1,199
200,0,200
201,1,201
202,-1,202
203,0,203
204,1,204
205,1,205
206,1,206
207,1,207
208,1,208
209,0,209
210,1,210
211,0,211
212,1,212
213,0,213
214,1,214
215,-1,215
216,0,216
217,-1,217
218,1,218
219,0,219
220,0,220
221,-1,221
222,1,222
223,1,223
224,1,224
225,0,225
226,-1,226
227,0,227
228,0,228
229,0,229
230,1,230
231,0,231
232,1,232
233,1,233
234,1,234
235,-1,235
236,0,236
237,1,237
238,1,238
239,1,239
240,1,240
241,0,241
242,-1,242
243,0,243
244,0,244
245,1,245
246,0,246
247,1,247
248,1,248
249,0,249
250,-1,250
251,-1,251
252,1,252
253,1,253
254,1,254
255,1,255
256,1,256
257,0,257
258,1,258
259,-1,259
260,1,260
261,1,261
262,-1,262
263,1,263
264,0,264
