out__topic03.tweet_id,out__topic03.topic,in__blobs00.tweet_id
0,arts_&_culture,0
1,sports_&_gaming,1
2,sports_&_gaming,2
3,sports_&_gaming,3
4,sports_&_gaming,4
5,business_&_entrepreneurs,5
6,pop_culture,6
7,sports_&_gaming,7
8,sports_&_gaming,8
9,sports_&_gaming,9
10,sports_&_gaming,10
11,daily_life,11
12,daily_life,12
13,daily_life,13
14,pop_culture,14
15,sports_&_gaming,15
16,sports_&_gaming,16
17,pop_culture,17
18,pop_culture,18
19,pop_culture,19
20,daily_life,20
21,science_&_technology,21
22,pop_culture,22
23,pop_culture,23
24,sports_&_gaming,24
25,pop_culture,25
26,daily_life,26
27,daily_life,27
28,pop_culture,28
29,sports_&_gaming,29
30,sports_&_gaming,30
31,sports_&_gaming,31
32,sports_&_gaming,32
33,pop_culture,33
34,pop_culture,34
35,pop_culture,35
36,business_&_entrepreneurs,36
37,arts_&_culture,37
38,pop_culture,38
39,pop_culture,39
40,pop_culture,40
41,pop_culture,41
42,daily_life,42
43,pop_culture,43
44,pop_culture,44
45,pop_culture,45
46,pop_culture,46
47,pop_culture,47
48,pop_culture,48
49,sports_&_gaming,49
50,daily_life,50
51,pop_culture,51
52,sports_&_gaming,52
53,pop_culture,53
54,pop_culture,54
55,sports_&_gaming,55
56,pop_culture,56
57,daily_life,57
58,pop_culture,58
59,pop_culture,59
60,daily_life,60
61,sports_&_gaming,61
62,daily_life,62
63,pop_culture,63
64,sports_&_gaming,64
65,sports_&_gaming,65
66,sports_&_gaming,66
67,sports_&_gaming,67
68,pop_culture,68
69,sports_&_gaming,69
70,pop_culture,70
71,daily_life,71
72,sports_&_gaming,72
73,daily_life,73
74,pop_culture,74
75,pop_culture,75
76,pop_culture,76
77,daily_life,77
78,pop_culture,78
79,sports_&_gaming,79
80,pop_culture,80
81,daily_life,81
82,daily_life,82
83,daily_life,83
84,pop_culture,84
85,daily_life,85
86,pop_culture,86
87,pop_culture,87
88,pop_culture,88
89,pop_culture,89
90,sports_&_gaming,90
91,sports_&_gaming,91
92,pop_culture,92
93,pop_culture,93
94,sports_&_gaming,94
95,daily_life,95
96,pop_culture,96
97,daily_life,97
98,daily_life,98
99,sports_&_gaming,99
100,pop_culture,100
101,arts_&_culture,101
102,sports_&_gaming,102
103,daily_life,103
104,pop_culture,104
105,business_&_entrepreneurs,105
106,daily_life,106
107,pop_culture,107
108,daily_life,108
109,pop_culture,109
110,sports_&_gaming,110
111,sports_&_gaming,111
112,pop_culture,112
113,pop_culture,113
114,sports_&_gaming,114
115,daily_life,115
116,sports_&_gaming,116
117,sports_&_gaming,117
118,daily_life,118
119,pop_culture,119
120,sports_&_gaming,120
121,science_&_technology,121
122,sports_&_gaming,122
123,pop_culture,123
124,pop_culture,124
125,pop_culture,125
126,daily_life,126
127,pop_culture,127
128,pop_culture,128
129,pop_culture,129
130,pop_culture,130
131,pop_culture,131
132,sports_&_gaming,132
133,science_&_technology,133
134,daily_life,134
135,daily_life,135
136,pop_culture,136
137,arts_&_culture,137
138,sports_&_gaming,138
139,sports_&_gaming,139
140,arts_&_culture,140
141,sports_&_gaming,141
142,business_&_entrepreneurs,142
143,pop_culture,143
144,sports_&_gaming,144
145,pop_culture,145
146,pop_culture,146
147,sports_&_gaming,147
148,pop_culture,148
149,pop_culture,149
150,daily_life,150
151,pop_culture,151
152,science_&_technology,152
153,daily_life,153
154,pop_culture,154
155,sports_&_gaming,155
156,pop_culture,156
157,sports_&_gaming,157
158,daily_life,158
159,daily_life,159
160,pop_culture,160
161,pop_culture,161
162,daily_life,162
163,pop_culture,163
164,arts_&_culture,164
165,business_&_entrepreneurs,165
166,pop_culture,166
167,sports_&_gaming,167
168,sports_&_gaming,168
169,pop_culture,169
170,sports_&_gaming,170
171,daily_life,171
172,pop_culture,172
173,business_&_entrepreneurs,173
174,pop_culture,174
175,pop_culture,175
176,sports_&_gaming,176
177,sports_&_gaming,177
178,daily_life,178
179,sports_&_gaming,179
180,daily_life,180
181,sports_&_gaming,181
182,pop_culture,182
183,sports_&_gaming,183
184,pop_culture,184
185,sports_&_gaming,185
186,daily_life,186
187,sports_&_gaming,187
188,pop_culture,188
189,sports_&_gaming,189
190,pop_culture,190
191,daily_life,191
192,pop_culture,192
193,pop_culture,193
194,sports_&_gaming,194
195,sports_&_gaming,195
196,sports_&_gaming,196
197,daily_life,197
198,daily_life,198
199,daily_life,199
200,sports_&_gaming,200
201,sports_&_gaming,201
202,daily_life,202
203,sports_&_gaming,203
204,science_&_technology,204
205,pop_culture,205
206,pop_culture,206
207,pop_culture,207
208,sports_&_gaming,208
209,sports_&_gaming,209
210,business_&_entrepreneurs,210
211,sports_&_gaming,211
212,daily_life,212
213,pop_culture,213
214,pop_culture,214
215,pop_culture,215
216,sports_&_gaming,216
217,sports_&_gaming,217
218,pop_culture,218
219,pop_culture,219
220,pop_culture,220
221,pop_culture,221
222,daily_life,222
223,pop_culture,223
224,sports_&_gaming,224
225,sports_&_gaming,225
226,daily_life,226
227,sports_&_gaming,227
228,sports_&_gaming,228
229,sports_&_gaming,229
230,daily_life,230
231,daily_life,231
232,sports_&_gaming,232
233,pop_culture,233
234,pop_culture,234
235,daily_life,235
236,sports_&_gaming,236
237,pop_culture,237
238,pop_culture,238
239,sports_&_gaming,239
240,pop_culture,240
241,pop_culture,241
242,daily_life,242
243,arts_&_culture,243
244,pop_culture,244
245,sports_&_gaming,245
246,sports_&_gaming,246
